village,n,p1,p5,p10,p25,p50,p75,p90,p95,p99,mean,sd,min,max
Overall,288,76.6,104.2,113.3,127.4,178.5,378.1,857.6,1027.4,2767.5,451.3,1710.0,0.5,28304.0
Ambler,10,111.3,116.4,122.8,132.5,175.3,389.8,898.2,917.1,932.2,336.1,320.0,110.0,936.0
Buckland,35,89.6,96.4,102.6,117.9,154.9,294.0,766.1,837.3,1099.5,284.9,276.4,88.7,1222.3
Deering,8,119.1,125.7,133.9,142.7,161.3,270.1,662.2,845.4,992.0,306.2,317.6,117.4,1028.7
Kiana,15,105.7,109.7,116.7,127.2,137.6,182.1,212.1,223.1,236.7,154.4,41.7,104.7,240.1
Kivalina,22,99.5,101.2,103.3,118.3,187.1,365.8,781.2,847.7,988.4,300.8,276.0,99.0,1025.1
Kobuk,7,157.1,157.3,157.5,160.7,165.4,429.9,715.7,805.3,876.9,342.6,290.9,157.0,894.8
Noatak,25,112.0,114.4,115.9,122.0,155.1,333.0,823.4,957.1,1342.4,330.2,353.0,111.4,1454.6
Noorvik,37,151.1,157.6,162.2,178.5,205.6,556.2,894.7,955.9,1481.3,400.2,362.3,148.0,1732.8
Point Hope,69,33.1,99.8,107.1,128.0,188.0,401.7,877.6,1137.1,10777.4,760.4,3391.3,0.5,28304.0
Selawik,48,45.3,112.2,118.9,125.5,148.6,334.2,726.5,903.7,3474.6,382.8,690.6,3.8,4135.0
Shungnak,12,105.7,128.5,153.0,170.7,339.9,931.3,1951.1,2480.0,2910.9,747.2,914.3,100.0,3018.6
