route,n_legs,pct_n
CAH_01 → Hub_01,101,24.2 (101)
Point Hope → CAH_01,71,17.0 (71)
Selawik → CAH_01,49,11.7 (49)
Buckland → CAH_01,37,8.9 (37)
Noorvik → CAH_01,37,8.9 (37)
Noatak → CAH_01,26,6.2 (26)
Kivalina → CAH_01,23,5.5 (23)
Kiana → CAH_01,16,3.8 (16)
Shungnak → CAH_01,12,2.9 (12)
Ambler → CAH_01,10,2.4 (10)
Deering → CAH_01,8,1.9 (8)
CAH_01 → OutsideHospital02,7,1.7 (7)
Kobuk → CAH_01,7,1.7 (7)
Buckland → Hub_01,5,1.2 (5)
Point Hope → Hub_01,4,1.0 (4)
Selawik → Hub_01,3,0.7 (3)
CAH_01 → OutsideHospital03,1,0.2 (1)
Kivalina → Hub_01,1,0.2 (1)
Total,418,100.0 (418)
