characteristic,value
Unique patients,259
Village→CAH medevac records (distinct IDs),296
Female sex,123 (47.5%)
American Indian / Alaska Native,NR — add AI_AN (1=yes) or RaceDSC to pediatric_patients.csv
Insurance (PrimaryPayorNM),NR — add PrimaryPayorNM to pediatric_patients.csv (PHI sync)
"Age at first medevac, y, mean (SD)",7.7 (6.5)
"Age Groups, n(%)",
  <1 year,63 (24.3%)
  1 to <5 years,51 (19.7%)
  5–12 years,63 (24.3%)
  13–18 years,82 (31.7%)
"Month of Medevac, n(%)",
  Jan,0 (0.0%)
  Feb,0 (0.0%)
  Mar,0 (0.0%)
  Apr,0 (0.0%)
  May,0 (0.0%)
  Jun,0 (0.0%)
  Jul,0 (0.0%)
  Aug,0 (0.0%)
  Sep,0 (0.0%)
  Oct,0 (0.0%)
  Nov,0 (0.0%)
  Dec,0 (0.0%)
  Month missing,259 (100.0%)
"Origin Village, n(%)",
  Village_I,58 (22.4%)
  Village_D,46 (17.8%)
  Village_A,34 (13.1%)
  Village_G,34 (13.1%)
  Village_K,23 (8.9%)
  Village_B,16 (6.2%)
  Village_C,15 (5.8%)
  Village_J,12 (4.6%)
  Village_E,8 (3.1%)
  Village_H,7 (2.7%)
  Village_F,6 (2.3%)
