Metric,Overall,Buckland,Selawik,Point Hope,Noorvik,Kivalina,Noatak,Kiana,Ambler,Deering,Shungnak,Kobuk
Total journeys,296,71,49,37,37,26,23,16,12,10,8,7
Total patients,259,59,46,34,34,16,23,15,12,8,8,6
Mean journeys per year (SD),21.1 (11.5),5.1 (3.7),3.5 (2.2),2.6 (1.8),2.6 (1.9),1.9 (2.2),1.6 (1.7),1.1 (2.0),0.9 (0.9),0.7 (0.8),0.6 (0.8),0.5 (0.9)
Distance to Kotzebue (miles),—,75,73,148,42,77,48,59,129,57,148,155
"Total air ambulance time (arrival → MHC), min — Median (IQR); Range",298 (208–536); 108–28874,271 (209–470); 108–28874,299 (207–458); 140–4195,380 (282–805); 187–2064,265 (181–340); 108–1262,365 (195–872); 159–2192,341 (173–466); 120–4164,238 (188–366); 115–632,525 (320–1181); 149–3079,392 (233–650); 166–996,283 (236–362); 177–1089,324 (254–491); 213–955
Air Ambulance Activation,,,,,,,,,,,,
  % with complete timing data (n),69.6% (n=206),64.8% (n=46),75.5% (n=37),56.8% (n=21),73.0% (n=27),76.9% (n=20),73.9% (n=17),87.5% (n=14),58.3% (n=7),70.0% (n=7),62.5% (n=5),71.4% (n=5)
"  Air ambulance decision-making time, min — Median (IQR); Range",78 (45–156); 0–3990,73 (45–104); 3–1277,80 (56–142); 15–720,86 (45–190); 0–1815,45 (34–87); 0–252,108 (59–387); 26–1419,65 (43–169); 1–3990,89 (51–244); 3–480,118 (104–267); 30–765,157 (88–217); 42–484,103 (86–133); 45–149,70 (61–116); 56–161
"  Air ambulance response and transfer time, min — Median (IQR); Rangeᵃ",156 (124–230); 81–28304,147 (127–238); 81–28304,139 (125–248); 92–2730,206 (186–249); 179–1034,123 (110–201); 89–1222,140 (121–250); 111–1455,120 (115–232); 99–802,140 (126–193); 105–240,199 (168–340); 152–428,134 (128–212); 110–440,160 (143–163); 141–192,163 (158–165); 157–263
"Utilization rate per 1,000 pediatric residents",139.6,295.8,148.9,108.8,125.9,139.0,110.0,100.6,115.4,137.0,75.5,87.5
