Metric of Interest,Overall,<1 year,1 to <5 years,5–12 years,13–18 years
# Unique Patients,259,63,51,63,82
Female Sex,123 (47.5%),25 (39.7%),28 (54.9%),25 (39.7%),45 (54.9%)
Race (AI/AN),NR*,NR*,NR*,NR*,NR*
Insurance Type:,,,,,
  Commercial,NR*,NR*,NR*,NR*,NR*
  Government,NR*,NR*,NR*,NR*,NR*
  IHS,NR*,NR*,NR*,NR*,NR*
  Self-Pay,NR*,NR*,NR*,NR*,NR*
  Other,NR*,NR*,NR*,NR*,NR*
"Primary transports per patient, n (%):",,,,,
  1 transport,231 (89.2%),57 (90.5%),47 (92.2%),55 (87.3%),72 (87.8%)
  2 transports,23 (8.9%),5 (7.9%),3 (5.9%),6 (9.5%),9 (11.0%)
  3+ transports,5 (1.9%),1 (1.6%),1 (2.0%),2 (3.2%),1 (1.2%)
