Chief Complaint (CEDIS),Overall,<1 year,1 to <5 years,5–12 years,13–18 years
Follow-up visit,61 (20.6%),21 (30.4%),16 (28.1%),10 (13.5%),14 (14.6%)
Abdominal pain,24 (8.1%),1 (1.4%),1 (1.8%),11 (14.9%),11 (11.5%)
Major trauma—blunt,11 (3.7%),1 (1.4%),2 (3.5%),2 (2.7%),6 (6.2%)
Direct referral for consultation,11 (3.7%),3 (4.3%),1 (1.8%),3 (4.1%),4 (4.2%)
"Pregnancy issues, >20 weeks",9 (3.0%),2 (2.9%),2 (3.5%),2 (2.7%),3 (3.1%)
Depression/suicidal/deliberate self-harm,8 (2.7%),0 (0.0%),1 (1.8%),1 (1.4%),6 (6.2%)
Fever,7 (2.4%),3 (4.3%),2 (3.5%),2 (2.7%),0 (0.0%)
Lower extremity injury,6 (2.0%),1 (1.4%),0 (0.0%),1 (1.4%),4 (4.2%)
Unknown,6 (2.0%),1 (1.4%),1 (1.8%),2 (2.7%),2 (2.1%)
General weakness,6 (2.0%),3 (4.3%),1 (1.8%),1 (1.4%),1 (1.0%)
Shortness of breath,6 (2.0%),1 (1.4%),4 (7.0%),0 (0.0%),1 (1.0%)
Wound check,5 (1.7%),2 (2.9%),2 (3.5%),0 (0.0%),1 (1.0%)
Cough/congestion,5 (1.7%),2 (2.9%),2 (3.5%),1 (1.4%),0 (0.0%)
Localized swelling/redness,4 (1.4%),1 (1.4%),0 (0.0%),1 (1.4%),2 (2.1%)
Sore throat,4 (1.4%),0 (0.0%),1 (1.8%),1 (1.4%),2 (2.1%)
