Metric,"Primary only
(n=0)","Secondary
(n=295)","Direct tertiary
(n=14)",p
"Age, years — Median (IQR)",—,6.4 (1.1–14.7),11.2 (5.5–14.3),0.558
"Age group, n (%)",,,,—
  <1 year,—,23.4% (69),14.3% (2),
  1 to <5 years,—,19.3% (57),7.1% (1),
  5–12 years,—,24.7% (73),50.0% (7),
  13–18 years,—,32.5% (96),28.6% (4),
"Chief Complaint (CEDIS), n (%)",,,,—
  Trauma/Injury,—,16.9% (50),21.4% (3),
  Gastrointestinal,—,15.3% (45),14.3% (2),
  Respiratory,—,10.5% (31),7.1% (1),
  Fever,—,6.1% (18),0.0% (0),
  Direct referral for consultation,—,4.7% (14),7.1% (1),
"  Pregnancy issues, >20 weeks",—,4.1% (12),0.0% (0),
  Depression/suicidal/deliberate self-harm,—,3.7% (11),0.0% (0),
  Overdose ingestion,—,3.1% (9),0.0% (0),
  Seizure,—,3.1% (9),0.0% (0),
  General weakness,—,2.4% (7),0.0% (0),
