Village,Pediatric pop (2020),Total journeys,"Journeys/year, mean (SD)","Rate per 1,000",<1 yr,1–4 yr,5–12 yr,13–18 yr
Buckland,240,75,5.4 (3.9),312.5,24.0% (18),10.7% (8),30.7% (23),34.7% (26)
Selawik,329,52,3.7 (2.3),158.1,23.1% (12),17.3% (9),25.0% (13),34.6% (18)
Noorvik,294,42,3.0 (2.2),142.9,21.4% (9),16.7% (7),31.0% (13),31.0% (13)
Kivalina,187,26,1.9 (2.2),139.0,38.5% (10),19.2% (5),19.2% (5),23.1% (6)
Deering,73,10,0.7 (0.8),137.0,30.0% (3),10.0% (1),40.0% (4),20.0% (2)
Ambler,104,12,0.9 (0.9),115.4,0.0% (0),50.0% (6),33.3% (4),16.7% (2)
Noatak,209,24,1.7 (1.8),114.8,20.8% (5),20.8% (5),33.3% (8),25.0% (6)
Point Hope,340,37,2.6 (1.8),108.8,27.0% (10),24.3% (9),10.8% (4),37.8% (14)
Kiana,159,16,1.1 (2.0),100.6,12.5% (2),18.8% (3),25.0% (4),43.8% (7)
Kobuk,80,7,0.5 (0.9),87.5,0.0% (0),28.6% (2),14.3% (1),57.1% (4)
Shungnak,106,8,0.6 (0.8),75.5,25.0% (2),37.5% (3),12.5% (1),25.0% (2)
Overall,2121,309,22.1 (12.0),145.7,23.0% (71),18.8% (58),25.9% (80),32.4% (100)
